iter	MultiClass
0	1.931996044
1	1.916350866
2	1.902233146
3	1.889185956
4	1.875153484
5	1.863722304
6	1.854969769
7	1.84542714
8	1.836990625
9	1.828499491
10	1.819507759
11	1.811648595
12	1.805634598
13	1.79257475
14	1.786705646
15	1.779017638
16	1.771350443
17	1.765836369
18	1.752688358
19	1.741993374
20	1.730369674
21	1.718885486
22	1.707422478
23	1.697626817
24	1.686833555
25	1.676580276
26	1.66828251
27	1.66133346
28	1.653845072
29	1.649780314
30	1.643265523
31	1.632282017
32	1.625673819
33	1.615993637
34	1.614562836
35	1.606471714
36	1.598572479
37	1.593307995
38	1.588100192
39	1.58561046
40	1.581645816
41	1.577678364
42	1.571276622
43	1.565337282
44	1.560377512
45	1.553470811
46	1.548091833
47	1.54268695
48	1.539814337
49	1.533967937
50	1.530543134
51	1.5266571
52	1.5228947
53	1.518533432
54	1.516363183
55	1.510514152
56	1.508357762
57	1.504334617
58	1.500918803
59	1.498555581
60	1.495887601
61	1.492636408
62	1.488856353
63	1.484799456
64	1.482994676
65	1.481933129
66	1.480730423
67	1.48039583
68	1.476888102
69	1.474432268
70	1.472279363
71	1.468717112
72	1.466211286
73	1.463207182
74	1.461494049
75	1.459903714
76	1.458969502
77	1.456214174
78	1.451758301
79	1.451102665
80	1.446929443
81	1.444402717
82	1.442163917
83	1.438865891
84	1.435800995
85	1.433451724
86	1.432198074
87	1.430220987
88	1.428932527
89	1.424386152
90	1.42163616
91	1.418115749
92	1.417025823
93	1.415196558
94	1.413936742
95	1.412604162
96	1.410035132
97	1.406777561
98	1.403328173
99	1.401620715
100	1.399712583
101	1.396925671
102	1.395429062
103	1.39366619
104	1.391865429
105	1.389720742
106	1.389090636
107	1.38786085
108	1.383998536
109	1.380938612
110	1.379333717
111	1.377577284
112	1.377052014
113	1.374225345
114	1.372345197
115	1.368929867
116	1.367258794
117	1.365614925
118	1.363898755
119	1.361409104
120	1.359894344
121	1.357196834
122	1.3533028
123	1.349406225
124	1.347987451
125	1.345447537
126	1.344275459
127	1.341890265
128	1.340260689
129	1.339181226
130	1.33767884
131	1.336932292
132	1.335222581
133	1.333856454
134	1.333066646
135	1.331915774
136	1.330954309
137	1.328468063
138	1.327314623
139	1.325941958
140	1.323738583
141	1.320328028
142	1.318072009
143	1.31651565
144	1.315182975
145	1.313880987
146	1.311941117
147	1.310601178
148	1.309657778
149	1.30726677
150	1.305447234
151	1.304873399
152	1.304038919
153	1.303124069
154	1.301161796
155	1.299825186
156	1.298612619
157	1.296914649
158	1.295826222
159	1.295111245
160	1.292716444
161	1.29133724
162	1.288761298
163	1.287206813
164	1.285869445
165	1.284354172
166	1.28340532
167	1.282369036
168	1.279666548
169	1.278844423
170	1.276978705
171	1.273852969
172	1.273451624
173	1.27197454
174	1.270850947
175	1.268646165
176	1.265315162
177	1.262532271
178	1.260600823
179	1.259953875
180	1.258760261
181	1.256919139
182	1.255719359
183	1.253757624
184	1.251291678
185	1.248716474
186	1.247766828
187	1.245117753
188	1.244623714
189	1.243668942
190	1.242764126
191	1.241496402
192	1.239855719
193	1.236789315
194	1.236091937
195	1.233365784
196	1.231126325
197	1.23027872
198	1.229257109
199	1.227777707
200	1.226016993
201	1.224918444
202	1.223694896
203	1.222459142
204	1.219652709
205	1.218745484
206	1.217597026
207	1.215573125
208	1.214070758
209	1.212250041
210	1.211357841
211	1.210163111
212	1.20954456
213	1.207813351
214	1.207002221
215	1.206053903
216	1.204859879
217	1.203790763
218	1.202991649
219	1.201471768
220	1.199748108
221	1.198026019
222	1.197003571
223	1.195947274
224	1.194355928
225	1.192362777
226	1.191648796
227	1.190590171
228	1.18900361
229	1.187911937
230	1.186448804
231	1.185147164
232	1.183709884
233	1.182473022
234	1.181810269
235	1.181213661
236	1.180485011
237	1.17955987
238	1.178481438
239	1.177706841
240	1.177252323
241	1.176214246
242	1.175058123
243	1.173525636
244	1.171554467
245	1.170083258
246	1.169028073
247	1.167917922
248	1.166979638
249	1.166204968
250	1.165241466
251	1.163492221
252	1.162556605
253	1.161559964
254	1.160756922
255	1.159383974
256	1.158231144
257	1.156439452
258	1.155202433
259	1.15301516
260	1.152635562
261	1.151967178
262	1.151141582
263	1.150711842
264	1.149868335
265	1.147923392
266	1.147153658
267	1.14650961
268	1.145312384
269	1.144425795
270	1.143031715
271	1.142335696
272	1.140050373
273	1.139663204
274	1.138684493
275	1.137972132
276	1.136728503
277	1.136311206
278	1.135557917
279	1.134162463
280	1.132908174
281	1.131920092
282	1.131022249
283	1.129259064
