iter	Passed	Remaining
0	58	58379
1	76	38042
2	90	29971
3	100	24965
4	111	22133
5	120	19926
6	125	17835
7	134	16644
8	141	15601
9	151	15045
10	162	14634
11	172	14163
12	178	13562
13	185	13086
14	190	12483
15	197	12153
16	204	11852
17	215	11741
18	222	11471
19	228	11183
20	234	10939
21	241	10720
22	247	10532
23	254	10359
24	260	10153
25	266	9987
26	273	9861
27	280	9720
28	286	9591
29	293	9483
30	299	9347
31	306	9265
32	313	9200
33	320	9106
34	324	8956
35	331	8869
36	337	8778
37	345	8749
38	352	8679
39	359	8620
40	366	8563
41	372	8492
42	378	8420
43	385	8372
44	392	8328
45	399	8291
46	406	8234
47	414	8213
48	420	8158
49	427	8126
50	434	8084
51	441	8048
52	448	8010
53	455	7980
54	461	7936
55	469	7911
56	475	7869
57	482	7830
58	488	7791
59	495	7757
60	501	7715
61	509	7701
62	515	7671
63	524	7676
64	531	7651
65	538	7623
66	546	7607
67	548	7519
68	555	7497
69	563	7480
70	570	7469
71	578	7455
72	584	7424
73	591	7407
74	599	7389
75	606	7369
76	614	7364
77	620	7338
78	628	7328
79	632	7279
80	640	7263
81	646	7235
82	652	7208
83	659	7187
84	665	7168
85	672	7143
86	679	7132
87	686	7109
88	691	7076
89	698	7064
90	704	7038
91	710	7016
92	718	7011
93	725	6996
94	732	6978
95	738	6954
96	745	6938
97	752	6929
98	759	6908
99	765	6890
100	773	6885
101	780	6869
102	786	6848
103	794	6845
104	801	6834
105	810	6832
106	818	6832
107	827	6830
108	835	6828
109	845	6841
110	852	6825
111	860	6825
112	867	6807
113	875	6805
114	882	6791
115	889	6775
116	896	6763
117	902	6747
118	910	6743
119	919	6744
120	926	6732
121	933	6720
122	941	6711
123	948	6701
124	955	6688
125	963	6683
126	971	6680
127	979	6669
128	985	6656
129	992	6640
130	999	6629
131	1006	6615
132	1013	6605
133	1020	6595
134	1026	6578
135	1033	6567
136	1040	6554
137	1047	6541
138	1054	6532
139	1062	6524
140	1069	6517
141	1077	6509
142	1083	6495
143	1090	6482
144	1100	6486
145	1109	6488
146	1117	6482
147	1125	6480
148	1132	6469
149	1141	6469
150	1149	6461
151	1157	6456
152	1165	6450
153	1171	6435
154	1180	6433
155	1187	6426
156	1194	6414
157	1201	6401
158	1209	6399
159	1217	6392
160	1225	6384
161	1232	6373
162	1239	6367
163	1247	6356
164	1254	6348
165	1261	6336
166	1268	6324
167	1276	6319
168	1284	6318
169	1294	6318
170	1301	6310
171	1309	6302
172	1316	6292
173	1323	6281
174	1330	6273
175	1338	6267
176	1346	6259
177	1354	6254
178	1361	6243
179	1368	6232
180	1375	6225
181	1385	6226
182	1392	6215
183	1400	6209
184	1407	6201
185	1415	6196
186	1424	6193
187	1431	6182
188	1438	6172
189	1446	6167
190	1454	6161
191	1462	6155
192	1469	6145
193	1478	6141
194	1486	6136
195	1494	6130
196	1502	6125
197	1511	6121
198	1518	6111
199	1525	6101
200	1533	6093
201	1540	6085
202	1548	6080
203	1557	6076
204	1565	6070
205	1573	6066
206	1581	6058
207	1587	6046
208	1594	6035
209	1602	6027
210	1610	6020
211	1617	6012
212	1624	6003
213	1632	5997
214	1640	5988
215	1647	5979
216	1655	5971
217	1662	5963
218	1668	5951
219	1676	5942
220	1683	5933
221	1691	5928
222	1698	5917
223	1706	5912
224	1716	5911
225	1724	5906
226	1732	5899
227	1740	5892
228	1747	5882
229	1754	5873
230	1762	5867
231	1769	5859
232	1777	5850
233	1785	5843
234	1792	5834
235	1799	5824
236	1806	5815
237	1813	5805
238	1820	5796
239	1827	5787
240	1834	5777
241	1841	5767
242	1849	5760
243	1856	5752
244	1864	5744
245	1871	5735
246	1878	5727
247	1886	5720
248	1893	5710
249	1900	5702
250	1908	5694
251	1914	5684
252	1921	5674
253	1930	5669
254	1936	5657
255	1945	5653
256	1952	5645
257	1959	5634
258	1966	5625
259	1974	5619
260	1981	5611
261	1988	5602
262	1995	5593
263	2002	5581
264	2009	5573
265	2017	5566
266	2024	5557
267	2031	5550
268	2040	5543
269	2048	5537
270	2055	5529
271	2063	5522
272	2070	5513
273	2076	5502
274	2083	5493
275	2091	5487
276	2100	5481
277	2108	5474
278	2115	5467
279	2123	5461
280	2131	5454
281	2139	5447
282	2146	5437
283	2153	5429
284	2161	5421
285	2168	5414
286	2175	5405
287	2183	5398
288	2191	5390
289	2199	5384
290	2206	5376
291	2213	5367
292	2221	5359
293	2229	5352
294	2235	5343
295	2243	5335
296	2250	5325
297	2258	5320
298	2266	5314
299	2274	5306
300	2281	5299
301	2288	5289
302	2296	5282
303	2304	5275
304	2311	5267
305	2319	5261
306	2326	5252
307	2334	5244
308	2341	5236
309	2348	5228
310	2356	5220
311	2364	5213
312	2371	5205
313	2379	5198
314	2387	5191
315	2395	5184
316	2401	5174
317	2408	5165
318	2415	5155
319	2421	5146
320	2428	5136
321	2435	5127
322	2442	5118
323	2449	5110
324	2457	5104
325	2465	5097
326	2474	5092
327	2483	5088
328	2491	5081
329	2499	5073
330	2506	5066
331	2514	5058
332	2521	5049
333	2528	5042
334	2536	5035
335	2543	5027
336	2550	5018
337	2558	5010
