iter	RMSE
0	0.3722740332
1	0.3472357378
2	0.325744284
3	0.3063316915
4	0.2891379127
5	0.2725357428
6	0.2581313666
7	0.2463622776
8	0.2352763166
9	0.2246151306
10	0.2156135417
11	0.2064055979
12	0.1988333306
13	0.1919705428
14	0.1858631053
15	0.1803729043
16	0.1750071218
17	0.1700034142
18	0.1652646498
19	0.1613822106
20	0.1580882402
21	0.1548860376
22	0.1516638557
23	0.1492633602
24	0.1467706404
25	0.1447362318
26	0.1428824937
27	0.141198789
28	0.1394046
29	0.1371546553
30	0.1356323931
31	0.1338545801
32	0.1326093093
33	0.1314470453
34	0.1300089664
35	0.1286782545
36	0.1279166907
37	0.1270769046
38	0.1261600832
39	0.12539247
40	0.1247963432
41	0.1237932454
42	0.123138873
43	0.1221329172
44	0.1211754453
45	0.1203443584
46	0.1195756741
47	0.1188235343
48	0.118171788
49	0.1173878764
50	0.116887868
51	0.1157693719
52	0.1152844026
53	0.1144461385
54	0.1136012295
55	0.1132551056
56	0.112369424
57	0.1120573946
58	0.1116134922
59	0.1107675159
60	0.1102499385
61	0.1096168374
62	0.1088773573
63	0.1086858257
64	0.10817053
65	0.1081677791
66	0.1078139653
67	0.1074215275
68	0.1069689165
69	0.1067008047
70	0.1063341978
71	0.1057849722
72	0.1053748657
73	0.1045638797
74	0.1043083191
75	0.1039391246
76	0.1034379352
77	0.1032528753
78	0.1028380284
79	0.1025500154
80	0.102099051
81	0.1018305269
82	0.1011667264
83	0.1010816825
84	0.1008553922
85	0.1003574156
86	0.1000468194
87	0.09970171755
88	0.09916646606
89	0.09905858389
90	0.09891032385
91	0.09887797886
92	0.09838911274
93	0.09805386602
94	0.09798066946
95	0.09784792665
96	0.09747453015
97	0.09694374369
98	0.09687227044
99	0.0968487472
100	0.09650550155
101	0.09607710933
102	0.09595800873
103	0.09559112198
104	0.09531611236
105	0.09500680038
106	0.09471794993
107	0.09430739944
108	0.09414731538
109	0.09388439009
110	0.09337172392
111	0.09331308175
112	0.09328570846
113	0.09325431409
114	0.09279104735
115	0.09231269717
116	0.09204214279
117	0.09186528972
118	0.09171302772
119	0.09160938383
120	0.09112310852
121	0.0910728653
122	0.09080831862
123	0.09043388506
124	0.09034677165
125	0.09015719653
126	0.0898912272
127	0.08984132567
128	0.08967232111
129	0.08960420669
130	0.0893231786
131	0.08926833302
132	0.08887262597
133	0.08878027085
134	0.08853186963
135	0.08839726668
136	0.08811533057
137	0.08802946195
138	0.08760376784
139	0.08748579591
140	0.08732092009
141	0.08711719993
142	0.08708966901
143	0.08705951353
144	0.08672918611
145	0.0865388685
146	0.08618287433
147	0.08616955832
148	0.08589070828
149	0.08556014358
150	0.08526700091
151	0.08523520953
152	0.08507899945
153	0.08493588842
154	0.08476172659
155	0.08469742448
156	0.08433441961
157	0.08431878114
158	0.08405773291
159	0.08404636829
160	0.08391450919
161	0.08388184981
162	0.08349581965
163	0.08345495219
164	0.08313970303
165	0.08308724361
166	0.08301156515
167	0.08268094334
168	0.08264650099
169	0.08221012088
170	0.08202621728
171	0.08171014757
172	0.08152697997
173	0.08137521829
174	0.08124745382
175	0.08113453858
176	0.08094608812
177	0.080759884
178	0.08053152036
179	0.0802676832
180	0.080235218
181	0.07986097986
182	0.07974653078
183	0.0796688193
184	0.07932230117
185	0.0790369916
186	0.07878901714
187	0.07854551044
188	0.07823165152
189	0.07813500572
190	0.07803031391
191	0.07795047874
192	0.07774866852
193	0.07764185705
194	0.07749404987
195	0.07740090224
196	0.07715722753
197	0.07687819665
198	0.07681760482
199	0.07660768534
200	0.07628303083
201	0.07583232827
202	0.07539756661
203	0.07533786628
204	0.07519268863
205	0.0747565547
206	0.07466773015
207	0.07439370115
208	0.07421250618
209	0.07401448462
210	0.07389991882
211	0.07379167937
212	0.07369761087
213	0.07362771067
214	0.07351644367
215	0.07346799495
216	0.07344872908
217	0.07327066897
218	0.0730840642
219	0.07304510635
220	0.07291392291
221	0.07271809985
222	0.07241678009
223	0.0722536296
224	0.07221644287
225	0.07216248618
226	0.07203191727
227	0.07184026557
228	0.07177855575
229	0.07174895839
230	0.07163145304
231	0.07156882362
232	0.07143480605
233	0.07140326198
234	0.07135374883
235	0.07124880583
236	0.07109021221
237	0.07104658946
238	0.07102150584
239	0.07089289535
240	0.07082972733
241	0.07078394226
242	0.07065834426
243	0.0705829978
244	0.07042192515
245	0.07028564052
246	0.07010757883
247	0.07000234198
248	0.06988388928
249	0.06971652175
250	0.0696885991
251	0.06961642276
252	0.06955403435
253	0.0693619417
254	0.06933361507
255	0.06917516075
256	0.06914980748
257	0.06910688546
258	0.06894312721
259	0.06893306813
260	0.06874416552
261	0.06863039657
262	0.0685705284
263	0.06855413091
264	0.06852629187
265	0.06851894691
266	0.06828702145
267	0.06827907803
268	0.06815071009
269	0.06790696707
270	0.06772108931
271	0.06766737617
272	0.06766211261
273	0.06750542739
274	0.06735853951
275	0.06723429286
276	0.06698102193
277	0.06686417018
278	0.06669481976
279	0.06667486767
280	0.06664185021
281	0.06662330434
282	0.06657654603
283	0.06648444334
284	0.06637515283
285	0.06621498055
286	0.06618068702
287	0.06607605385
288	0.0659335276
289	0.06593003227
290	0.06571578532
291	0.06561562581
292	0.06559846168
293	0.065406313
294	0.06534452259
295	0.06527138051
296	0.06496411692
297	0.06488590247
298	0.06481239296
299	0.06464274987
300	0.06455573026
301	0.06443458247
302	0.06426378608
303	0.06418274957
304	0.06413957105
305	0.06403997176
306	0.06397153435
307	0.06375704281
308	0.06368568056
309	0.06367186468
310	0.06352857306
311	0.06346153669
312	0.06338438661
313	0.06317191677
314	0.06303589822
315	0.06285594173
316	0.06259639186
317	0.06247988919
318	0.06239883819
319	0.06232918832
320	0.0622480908
321	0.06204161029
322	0.06184620654
323	0.06155782273
324	0.06150083576
325	0.06139515786
326	0.06131863377
327	0.06115648325
328	0.06105320666
329	0.06103820352
330	0.06091236277
331	0.06086184109
332	0.06080365142
333	0.06060461819
334	0.06040931479
335	0.06029718761
336	0.06025544957
337	0.06019121297
338	0.06010787161
339	0.0600275972
340	0.05990151692
341	0.05981560686
342	0.05972712347
343	0.05948611339
344	0.05933509334
345	0.05925645287
346	0.05918479122
347	0.05916187405
348	0.05899430183
349	0.05898222941
350	0.0588972385
351	0.05877272601
352	0.05874437467
353	0.05872070407
354	0.05861532014
355	0.05860330922
356	0.05850197417
357	0.05845986497
358	0.0584219656
359	0.05834779894
360	0.0583310241
361	0.05824807649
362	0.05822797219
363	0.05816746612
364	0.05800331045
365	0.05796172101
366	0.05793293466
367	0.05782436235
368	0.05772909598
369	0.05760786877
370	0.05750994798
371	0.05747248222
372	0.05738244537
373	0.05721595319
374	0.05719003795
375	0.05715051667
376	0.057093872
377	0.05701512189
378	0.05687178174
379	0.05679222896
380	0.05673687865
381	0.0566777905
382	0.05663897963
383	0.05661167254
384	0.05659949583
385	0.05652272682
386	0.05650428224
387	0.05646053589
388	0.05633810501
389	0.05629289099
390	0.05626632844
391	0.05618613971
392	0.05615556961
393	0.05609043815
394	0.05593954216
395	0.05586240994
396	0.05574814425
397	0.05570025109
398	0.05554370309
399	0.05545353817
400	0.05542032043
401	0.05534382359
402	0.05525899105
403	0.05499977435
404	0.05498751204
405	0.05490143474
406	0.05488274898
407	0.05482533265
408	0.05472658434
409	0.05456227733
410	0.05446599224
411	0.05432343995
412	0.0541872802
413	0.05414321963
414	0.05412371846
415	0.05398233267
416	0.05380397515
417	0.05377938055
418	0.0537342911
419	0.05364434332
420	0.0535797136
421	0.05332597932
422	0.05326420661
423	0.05324187795
424	0.05318587277
425	0.05311989512
426	0.05307902021
427	0.05288868673
428	0.05281524821
429	0.05278767771
430	0.05268395557
431	0.05255017552
432	0.05247994094
433	0.05237281494
434	0.05228226507
435	0.05219481315
436	0.05211320452
437	0.05202334966
438	0.05194783792
439	0.05189638534
440	0.05181661678
441	0.05180653538
442	0.05174080585
443	0.05164876263
444	0.05160452251
445	0.05153587702
446	0.05149534642
447	0.05148293155
448	0.05147585869
449	0.05147033011
450	0.05145273764
451	0.05144138756
452	0.05140817067
453	0.05131959837
454	0.05126569353
455	0.05122653556
456	0.05095899898
457	0.05087887624
458	0.05081873061
459	0.0508021118
460	0.05071910555
461	0.05067714301
462	0.05066221493
463	0.05056476851
464	0.05050942241
465	0.05045784249
466	0.05038593702
467	0.05035419752
468	0.05031311241
469	0.05027500735
470	0.05024354577
471	0.05020524507
472	0.05017150229
473	0.05005259714
474	0.04999051056
475	0.04990032221
476	0.04984707984
477	0.04984020989
478	0.04981874989
479	0.04977064523
480	0.04971018737
481	0.04957937432
482	0.04955360709
483	0.0494679558
484	0.04940633159
485	0.04937384747
486	0.04924102127
487	0.04923200564
488	0.04913857803
489	0.0490838296
490	0.04906035725
491	0.04905502063
492	0.04900801201
493	0.04896891295
494	0.04886070966
495	0.04883811644
496	0.04880769853
497	0.04870400372
498	0.04864497617
499	0.04860345571
500	0.04855693156
501	0.04852333185
502	0.04845106148
503	0.04828319964
504	0.04818337623
505	0.04806628668
506	0.04805947901
507	0.04791501233
508	0.04788211594
509	0.04782262714
510	0.04775214284
511	0.04773900592
512	0.04762765905
513	0.04759367742
514	0.04752178249
515	0.04745554251
516	0.04743706
517	0.04727192223
518	0.04724329449
519	0.04722233198
520	0.04721130904
521	0.04720551061
522	0.04712297703
523	0.04704846247
524	0.04695428244
525	0.04692648508
526	0.04685292867
527	0.04673882632
528	0.0466186266
529	0.0465759572
530	0.04654127154
531	0.04642753589
532	0.04640316958
533	0.04639579045
534	0.04630802484
535	0.04630622338
536	0.04625429156
537	0.04616508677
538	0.04607061296
539	0.04596776691
540	0.04587445006
541	0.04582463775
542	0.04571421605
543	0.04555966221
544	0.04554498721
545	0.04547883099
546	0.0454510141
547	0.04543354754
548	0.04535236349
549	0.04534437934
550	0.04528192707
551	0.04520958432
552	0.04517680189
553	0.04511847505
554	0.04509391015
555	0.045007158
556	0.0449986695
557	0.04487134374
558	0.04486887895
559	0.04472251108
560	0.04465142435
561	0.04458388795
562	0.04457388059
563	0.04455524202
564	0.04444252602
565	0.04442109632
566	0.04441766371
567	0.04435946901
568	0.04429375842
569	0.04421157034
570	0.04409337497
571	0.04404484033
572	0.04404241874
573	0.04403486201
574	0.04402956018
575	0.04392742534
576	0.0438813632
577	0.04384668294
578	0.04379883603
579	0.04377412997
580	0.04373691136
581	0.04369570999
582	0.04366719138
583	0.04360624617
584	0.04357749307
585	0.04350455514
586	0.0434639872
587	0.04336261889
588	0.04332890335
589	0.04323380315
590	0.04320243055
591	0.04312739823
592	0.04309837561
593	0.04302238509
594	0.04286718427
595	0.04283508362
596	0.04274573919
597	0.04274097555
598	0.04271513614
599	0.04263731049
600	0.04263532167
601	0.04256267672
602	0.04243304745
603	0.04239111884
604	0.04238922218
605	0.04233789472
606	0.04233599946
607	0.04228890652
608	0.04222249459
609	0.04219735457
610	0.04218654693
611	0.04213020884
612	0.04202922599
613	0.04197976956
614	0.04192706164
615	0.04192048822
616	0.04188369845
617	0.04181901252
618	0.04174450363
619	0.04174059698
620	0.04170684197
621	0.04165077329
622	0.04164585685
623	0.04157893788
624	0.04155815822
625	0.04150259142
626	0.04145120595
627	0.04138740659
628	0.04131833154
629	0.04128727296
630	0.04124035638
631	0.04118309529
632	0.04112627255
633	0.0411218261
634	0.04106713178
635	0.04101282646
636	0.04095870408
637	0.04095490787
638	0.0408864881
639	0.04081103761
640	0.04078739363
641	0.04073605544
642	0.04071603346
643	0.04063700655
644	0.04063298883
645	0.04061533544
646	0.04060035217
647	0.04059531385
648	0.04055086149
649	0.04051144808
650	0.04041319094
651	0.04032552629
652	0.04030304838
653	0.04027903176
654	0.04020115277
655	0.04016771773
656	0.04015113149
657	0.04009538388
658	0.04006575803
659	0.0399774812
660	0.03989976579
661	0.03987709353
662	0.03987223247
663	0.03980309593
664	0.03977284963
665	0.03974333235
666	0.03966471528
667	0.03966299555
668	0.03961250859
669	0.03951675204
670	0.03940935233
671	0.03940162174
672	0.03932059664
673	0.03926469393
674	0.03924275817
675	0.0392337408
676	0.03914273145
677	0.0390815338
678	0.03907033544
679	0.03899167373
680	0.03890711084
681	0.03886207513
682	0.0388155801
683	0.03876439471
684	0.03872347153
685	0.03868582875
686	0.03868204184
687	0.03862811992
688	0.03861693063
689	0.03858954117
690	0.03855335805
691	0.03850278595
692	0.03845150215
693	0.03842749176
694	0.03830218832
695	0.03829162492
696	0.03821807956
697	0.03818787694
698	0.03815693342
699	0.03812073518
700	0.03804417474
701	0.03802114087
702	0.03795904067
703	0.03795015392
704	0.03793777995
705	0.03786799124
706	0.0378424955
707	0.03783526136
708	0.03781462489
709	0.03777304266
710	0.03769239938
711	0.03766957545
712	0.03761187919
713	0.03759313673
714	0.03755079978
715	0.03751416897
716	0.03748364254
717	0.03745748559
718	0.03737766758
719	0.03736692273
720	0.03733072133
721	0.03731688552
722	0.03728498109
723	0.03727536547
724	0.03721858899
725	0.03721062835
726	0.0371418805
727	0.03712284807
728	0.03703661162
729	0.03698276428
730	0.03693252819
731	0.03690713848
732	0.036790556
733	0.0367474961
734	0.03662804488
735	0.03657830481
736	0.03653815921
737	0.03652074652
738	0.0364765586
739	0.0363944548
740	0.03638041356
741	0.03636508548
742	0.03635664056
743	0.03631432893
744	0.03619480412
745	0.03614792698
746	0.03605046586
747	0.0359688954
748	0.03591937216
749	0.03590731574
750	0.03589408541
751	0.03583199529
752	0.03578379036
753	0.03569019217
754	0.03562626413
755	0.03560567458
756	0.03559781196
757	0.03547634644
758	0.03544981454
759	0.03544583089
760	0.03544360467
761	0.0354407918
762	0.03539469978
763	0.03538923385
764	0.03538100967
765	0.03536244476
766	0.03529064676
767	0.03528641612
768	0.03520634003
769	0.03515141774
770	0.03514232758
771	0.03506191799
772	0.03501961335
773	0.03494575648
774	0.03490569054
775	0.03487536221
776	0.03481337333
777	0.03479047598
778	0.03472056657
779	0.03471064867
780	0.0347089963
781	0.03466581948
782	0.03466378601
783	0.03463186185
784	0.03457538285
785	0.03457078665
786	0.03454354434
787	0.03453385848
788	0.03449317615
789	0.03448629465
790	0.03447651048
791	0.03446763918
792	0.03441530411
793	0.03441384839
794	0.03433598759
795	0.03424198348
796	0.03419662833
797	0.03418016955
798	0.034157996
799	0.03411077562
800	0.03405947757
801	0.03403571644
802	0.03403428078
803	0.03401569745
804	0.03398366411
805	0.03394181613
806	0.03390335815
807	0.03388371329
808	0.03382851148
809	0.03381971515
810	0.03375778802
811	0.03368188315
812	0.03363255529
813	0.03360570617
814	0.03353005983
815	0.03350910711
816	0.03350431139
817	0.03346271646
818	0.03342932502
819	0.03340387212
820	0.03334164607
821	0.03333743484
822	0.03330879985
823	0.03327473086
824	0.03327172597
825	0.0331905676
826	0.03315426812
827	0.03308462974
828	0.03304411079
829	0.03299139699
830	0.03295156044
831	0.03292246817
832	0.0328215249
833	0.03281588627
834	0.03273210511
835	0.03272876207
836	0.03268812592
837	0.03266123151
838	0.03264728129
839	0.0326346546
840	0.03260132669
841	0.03259539321
842	0.03257241479
843	0.03254960595
844	0.03249796626
845	0.03244964545
846	0.03241882398
847	0.03241057284
848	0.03240413222
849	0.03238178918
850	0.032376389
851	0.03235277845
852	0.03232614558
853	0.03230683574
854	0.03229179362
855	0.0322536087
856	0.03220565291
857	0.03219299783
858	0.03213326607
859	0.03211183051
860	0.03210976335
861	0.03206586022
862	0.03206407475
863	0.03204579005
864	0.03194437311
865	0.0319223643
866	0.03189830645
867	0.0318131701
868	0.03179846275
869	0.03176248384
870	0.03175866462
871	0.03167662152
872	0.03163603272
873	0.03163465758
874	0.03162939092
875	0.03161698421
876	0.031547933
877	0.03151162243
878	0.03145980679
