iter	Passed	Remaining
0	59	88442
1	70	53007
2	82	41365
3	94	35445
4	104	31117
5	112	27949
6	120	25634
7	127	23752
8	133	22103
9	140	20907
10	147	19939
11	154	19185
12	162	18557
13	169	17955
14	176	17514
15	184	17100
16	191	16708
17	198	16364
18	206	16066
19	214	15870
20	221	15611
21	229	15429
22	237	15263
23	245	15078
24	252	14905
25	259	14709
26	266	14563
27	273	14392
28	280	14244
29	288	14148
30	295	14024
31	302	13894
32	310	13786
33	316	13652
34	323	13555
35	331	13467
36	338	13383
37	345	13308
38	353	13245
39	361	13179
40	369	13136
41	376	13076
42	381	12926
43	389	12872
44	396	12807
45	403	12758
46	411	12726
47	419	12684
48	426	12629
49	434	12596
50	442	12560
51	449	12518
52	456	12450
53	462	12393
54	469	12334
55	476	12295
56	484	12269
57	492	12236
58	499	12199
59	508	12202
60	515	12157
61	522	12113
62	529	12084
63	536	12043
64	543	12008
65	546	11880
66	554	11865
67	561	11828
68	567	11776
69	574	11738
70	582	11715
71	589	11687
72	594	11628
73	601	11593
74	609	11578
75	616	11549
76	625	11561
77	633	11552
78	641	11531
79	648	11513
80	655	11479
81	661	11430
82	667	11403
83	673	11345
84	680	11336
85	688	11325
86	696	11304
87	702	11278
88	710	11260
89	718	11252
90	726	11252
91	733	11232
92	741	11211
93	747	11179
94	755	11174
95	763	11162
96	771	11156
97	778	11141
98	786	11135
99	794	11118
100	802	11109
101	809	11098
102	817	11090
103	824	11069
104	831	11044
105	839	11036
106	846	11014
107	853	10996
108	859	10972
109	866	10953
110	873	10934
111	880	10917
112	888	10911
113	894	10879
114	903	10881
115	910	10862
116	919	10865
117	925	10842
118	935	10853
119	942	10841
120	950	10835
121	958	10822
122	966	10815
123	973	10797
124	980	10782
125	987	10767
126	994	10752
127	1001	10738
128	1008	10723
129	1017	10725
130	1025	10717
131	1033	10711
132	1040	10690
133	1048	10685
134	1056	10678
135	1064	10674
136	1071	10657
137	1078	10641
138	1085	10627
139	1092	10612
140	1100	10608
141	1107	10595
142	1115	10581
143	1122	10574
144	1130	10565
145	1138	10558
146	1145	10547
147	1154	10543
148	1161	10531
149	1169	10525
150	1176	10513
151	1184	10505
152	1191	10492
153	1199	10484
154	1206	10467
155	1214	10463
156	1222	10454
157	1229	10440
158	1237	10433
159	1244	10422
160	1251	10411
161	1259	10400
162	1267	10395
163	1274	10381
164	1281	10371
165	1289	10360
166	1297	10357
167	1304	10342
168	1312	10333
169	1320	10328
170	1328	10321
171	1335	10309
172	1343	10303
173	1350	10292
174	1358	10282
175	1366	10277
176	1373	10263
177	1380	10253
178	1387	10242
179	1395	10231
180	1403	10225
181	1410	10216
182	1419	10213
183	1427	10206
184	1434	10199
185	1443	10194
186	1450	10183
187	1456	10166
188	1463	10152
189	1471	10144
190	1478	10135
191	1486	10128
192	1495	10127
193	1503	10121
194	1509	10104
195	1516	10090
196	1524	10081
197	1531	10072
198	1539	10062
199	1547	10055
200	1554	10047
201	1561	10036
202	1569	10029
203	1577	10024
204	1585	10016
205	1592	10006
206	1600	9999
207	1607	9986
208	1615	9981
209	1622	9969
210	1630	9959
211	1637	9950
212	1645	9941
213	1652	9930
214	1659	9919
215	1667	9911
216	1674	9902
217	1682	9896
218	1689	9884
219	1697	9878
220	1706	9874
221	1714	9869
222	1721	9859
223	1729	9851
224	1738	9849
225	1746	9843
226	1754	9839
227	1762	9834
228	1770	9828
229	1780	9829
230	1789	9829
231	1796	9817
232	1803	9808
233	1811	9800
234	1818	9790
235	1826	9781
236	1834	9777
237	1841	9764
238	1849	9757
239	1856	9746
240	1864	9742
241	1872	9736
242	1880	9727
243	1886	9712
244	1894	9704
245	1902	9699
246	1912	9701
247	1918	9686
248	1925	9676
249	1934	9672
250	1941	9661
251	1948	9650
252	1956	9643
253	1965	9640
254	1971	9625
255	1978	9611
256	1984	9598
257	1990	9583
258	1996	9567
259	2002	9551
260	2009	9538
261	2016	9527
262	2023	9516
263	2030	9507
264	2038	9499
265	2046	9492
266	2053	9481
267	2061	9478
268	2069	9468
269	2075	9457
270	2084	9452
271	2092	9446
272	2099	9437
273	2107	9429
274	2114	9418
275	2122	9412
276	2129	9400
277	2137	9394
278	2144	9386
279	2152	9380
280	2160	9374
281	2168	9365
282	2175	9356
283	2183	9350
284	2190	9339
285	2197	9328
286	2205	9323
287	2213	9313
288	2221	9307
289	2229	9302
290	2237	9293
291	2244	9287
292	2252	9280
293	2260	9273
294	2267	9263
295	2275	9255
296	2282	9245
297	2289	9233
298	2295	9222
299	2304	9218
300	2312	9211
301	2319	9202
302	2326	9190
303	2333	9179
304	2341	9174
305	2348	9164
306	2355	9153
307	2362	9143
308	2371	9138
309	2378	9130
310	2385	9121
311	2393	9112
312	2400	9105
313	2408	9095
314	2415	9086
315	2422	9078
316	2429	9068
317	2438	9065
318	2445	9054
319	2453	9048
320	2461	9041
321	2469	9035
322	2476	9025
323	2484	9018
324	2492	9010
325	2501	9006
